municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
Acton,3.395190449606547,6.994849985833071,-0.6266627994825785,-3.5608627813479248,-1.06260479838506,-2.399730135698481,-7.497207223203318,-1.155085804482166,4.8114661693337695,96.591,20.050045875337837,1964.4847746650423,3.30310819506924,2.271830752339814,0.1574041877248485,0.0,0.008677312443507,0.1351310635733654
Arlington,66.83652562199937,6.483107351457199,-0.109787561880186,-2.986599789990718,-1.4592268306109224,-1.9398125691871948,-3.805839105615114,-2.2496457076998264,4.7081501850176375,97.824,18.52697076467634,1936.249370488501,5.052825632442621,4.237217671797313,0.3809414157907729,2.5729856289358954,0.278943968997255,0.4942677216211852
Ashland,85.06239651521128,6.472346294500901,-0.1957028051592562,-2.808784648371254,-1.3603585061443573,-2.7346766762175325,-3.991626056027113,-1.616245805596377,4.824033842711016,95.769,19.61202008367033,1969.561590688652,3.2305425263164973,2.379616971916357,0.0602006754714881,0.0,0.0405742821473158,0.0162297128589263
Bedford,0.0,6.775366090936392,-0.2503364330929293,-2.750014400201242,-1.3954687373959318,-2.056867219641297,-4.268297869345538,-0.8472978603872037,4.965683548157512,96.526,19.68524069824113,1963.4307853953244,3.533860902607913,2.8817845140232743,0.0990156963174548,3.0,0.008634401272438,0.0949784139968189
Bellingham,0.0,6.405228458030842,-0.0790789848757423,-4.007333185232471,-1.4423838277709342,-1.8305174795274588,-3.77138067562568,-1.927661467466914,4.78637745091443,94.797,19.97436788324775,1966.79784466741,2.9874711421978146,1.959566563237021,0.0910343950729018,0.2401250822909809,0.0,0.0994075049374588
Belmont,75.01661803369505,5.44673737166631,-0.1434324636072341,-4.7535901911063645,-1.3196029866212184,-1.3358635074929988,-3.213734425367782,-1.1027445259530202,4.847492082420255,96.313,18.52211453246936,1933.9240986717268,5.196856200465451,4.649038106925555,0.2140019338810296,0.0,0.0,0.0045441635898892
Beverly,28.567984828415803,6.6240652277998935,-0.0323914957912354,-4.226169955001523,-1.593627306407458,-1.7798781413413025,-3.321303472441389,-2.1371690103351177,4.817059579784037,96.392,19.744610810513933,1936.9763580073177,4.235637594995463,3.457851662973103,0.2448995653413658,0.0,0.0154404689003586,0.0726970518764762
Bolton,100.0,5.135798437050262,-0.0606246218164348,-3.1898882879949486,-1.1845547184688343,-2.245426679154097,-4.477336814478207,-0.9456429438866826,4.941623955900163,95.778,20.08497342932205,1973.8820598006644,1.9730990743473968,0.8015329301152812,0.020246449442569,0.0,0.0,0.0
Boston,0.0,7.222566018822171,-0.3788160698159459,-1.5771191211789328,-1.8334942890056696,-1.4763628282820174,-2.00076850960736,-2.502860453404596,4.249513312893209,94.667,20.917113625163275,1924.2521408066948,6.010276051887463,4.4866215678725245,0.268263348846261,2.3339911979820798,1.0053500226910534,0.9229137423351732
Boxborough,0.0,5.91350300563827,-0.1609303668126371,-3.20545280453606,-1.213022639845854,-2.1999309389339623,-3.938664936374567,-1.3775691482290209,4.84851761420978,91.205,19.40494481960097,1977.3569811320756,2.658000813200758,1.5523362494382826,0.0473903734512103,2.965391621129326,0.004796599878567,0.2046144505160898
